Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
18196045,The Stories: Five Years of Original Fiction on Tor.com,Gregory Benford,"Benford, Gregory","Beth Bernobich, Jedediah Berry, Michael Bishop, Terry Bisson, Alex Bledsoe, Jennifer Bosworth, Damien Broderick, Jessica Brody, Steven Brust, Daniel Abraham, Cecil Castellucci, Adam-Troy Castro, John Chu, Cathy Clamp, Jacob Clifton, Deborah Coates, Paul Cornell, Matthew J. Costello, Kathryn Cramer, Sean Craven, C.T. Adams, S.J. Day, A.M. Dellamonica, Cory Doctorow, Andy Duncan, G.D. Falksen, Elizabeth Fama, Michael Flynn, James Alan Gardner, Felix Gilman, Steven Gould, Ann Aguirre, Eileen Gunn, Cat Hellisen, Thomas Olde Heuvelt, Gennifer Albin, Charlie Jane Anders, Anna Banks, Leigh Bardugo, Elizabeth Bear","=""""","=""9781466851306""",0,3.88,Tor.com,ebook,3817,2013,2013,,2013/07/15,to-read,to-read (#246),to-read,,,,,,,0,,,,,
1086770,The Book of Words,Jenny Erpenbeck,"Erpenbeck, Jenny",Susan Bernofsky,"=""081121706X""","=""9780811217064""",0,3.79,New Directions,Paperback,93,2007,2004,,2013/07/15,to-read,to-read (#245),to-read,,,,,,,0,,,,,
15645,Inferno (The Divine Comedy #1),Dante Alighieri,"Alighieri, Dante",Anthony Esolen,"=""0812970063""","=""9780812970067""",0,3.98,Modern Library,Paperback,490,2003,1304,,2013/07/14,to-read,to-read (#244),to-read,,,,,,,0,,,,,
3985,The Amazing Adventures of Kavalier & Clay,Michael Chabon,"Chabon, Michael",,"=""0312282990""","=""9780312282998""",0,4.16,Picador USA,Paperback,639,2001,2000,,2013/07/14,to-read,to-read (#243),to-read,,,,,,,0,,,,,
145055,Algorithm Design,Jon Kleinberg,"Kleinberg, Jon",Éva Tardos,"=""0321295358""","=""9780321295354""",0,4.03,Pearson,Paperback,864,2005,2005,,2013/07/14,to-read,to-read (#242),to-read,,,,,,,0,,,,,
910863,"Spin (Spin, #1)",Robert Charles Wilson,"Wilson, Robert Charles",,"=""076534825X""","=""9780765348258""",4,4.00,Tor Science Fiction,Mass Market Paperback,458,2006,2005,2013/07/15,2013/07/13,"sci-fi, humble-bundle2","sci-fi (#15), humble-bundle2 (#1)",read,"3.5 - the best thing was the tone, the melancholy seeping through everything",,,,,,0,,,,,
31196,The Razor's Edge,W. Somerset Maugham,"Maugham, W. Somerset",,"=""1400034205""","=""9781400034208""",0,4.17,Vintage,Paperback,314,2003,1944,,2013/07/13,to-read,to-read (#241),to-read,,,,,,,0,,,,,
16071731,The Skies Belong to Us: Love and Terror in the Golden Age of Hijacking,Brendan I. Koerner,"Koerner, Brendan I.",,"=""0307886107""","=""9780307886101""",0,3.99,Crown,Hardcover,318,2013,2013,,2013/07/11,to-read,to-read (#240),to-read,,,,,,,0,,,,,
113830,Just and Unjust Wars: A Moral Argument With Historical Illustrations,Michael Walzer,"Walzer, Michael",,"=""0465037070""","=""9780465037070""",0,3.75,Basic Books,Paperback,400,2006,1976,,2013/07/10,to-read,to-read (#239),to-read,,,,,,,0,,,,,
1898,Into Thin Air: A Personal Account of the Mount Everest Disaster,Jon Krakauer,"Krakauer, Jon",,"=""0385494785""","=""9780385494786""",0,4.09,Anchor,Paperback,337,1999,1997,,2013/07/10,to-read,to-read (#238),to-read,,,,,,,0,,,,,
